Date,Volatility
2021-12-30,2.609852302705913
2021-12-29,1.6889218532699268
2021-12-28,1.6842425841210809
2021-12-27,2.1833459511750863
2021-12-24,3.195938423372673
2021-12-23,2.078098796484971
2021-12-22,2.979370586417899
2021-12-21,5.842050164713336
2021-12-20,2.477046005405476
2021-12-17,4.473602262215034
2021-12-16,2.2591196402563276
2021-12-15,1.7343643164653633
2021-12-14,2.048654939937706
2021-12-13,1.8728240356685635
2021-12-09,2.798264891816342
2021-12-08,4.462440008854104
2021-12-07,2.1384082422769946
2021-12-03,2.6675189922415123
2021-12-02,5.235203694272723
2021-12-01,5.558578211406494
2021-11-30,5.854650155228053
2021-11-29,8.127801229091638
2021-11-26,1.5421756902957517
2021-11-25,1.54438411477473
2021-11-24,1.7328404123359824
2021-11-23,1.6871833144031962
2021-11-22,2.079539923690793
2021-11-19,1.7662282078780391
2021-11-18,1.4740598201389095
2021-11-17,1.6609879092760136
2021-11-16,1.5937776754210184
2021-11-15,1.4361625696527212
2021-11-12,1.4668697155232886
2021-11-11,1.571696739735501
2021-11-10,1.7225583028056506
2021-11-09,1.604360228540519
2021-11-08,1.874890650230736
2021-11-05,3.1269066003681667
2021-11-04,2.1421934769468067
2021-11-03,1.8181643717014329
2021-11-02,2.684573030796488
2021-11-01,1.6195674906815647
2021-10-29,1.9149855103559
2021-10-28,2.486332668010927
2021-10-27,1.7216273986342365
2021-10-26,2.6414713285116793
2021-10-25,1.9182259429694797
2021-10-21,2.262673160288016
2021-10-20,3.364384478966391
2021-10-19,1.742725615504458
2021-10-18,1.7405215365699824
2021-10-15,1.8544932442453708
2021-10-14,2.430593264594727
2021-10-12,2.1899920539673303
2021-10-11,2.0596098998575125
2021-10-08,3.1035450312903263
2021-10-07,2.075548847059835
2021-10-06,2.397291188160992
2021-10-05,2.294354244549547
2021-10-04,1.8491433049012778
2021-10-01,2.9994337129004958
2021-09-30,1.6415444276293136
2021-09-29,2.109284200949673
2021-09-28,3.086128765810955
2021-09-27,2.698011715990118
2021-09-23,2.1691233220283483
2021-09-22,3.343708021386325
2021-09-21,5.175919295163729
2021-09-20,2.1158546948082755
2021-09-17,1.6375574426447699
2021-09-16,1.8501565873094545
2021-09-15,2.7500574680137637
2021-09-14,1.7289771492622388
2021-09-13,2.094853484631498
2021-09-10,3.0244816456576316
2021-09-09,1.9218182842219567
2021-09-08,3.078729159284906
2021-09-07,1.7025805925683446
2021-09-06,1.8308968162804982
2021-09-03,2.9321430818232797
2021-09-02,2.123936489656548
2021-09-01,2.4817529977902635
2021-08-31,4.684293306351304
2021-08-30,2.3227123133727123
2021-08-27,1.9485574304061
2021-08-26,3.258988519646205
2021-08-25,2.985683319127119
2021-08-24,6.132155939955671
2021-08-23,2.3843137510199384
2021-08-20,2.5232723436890607
2021-08-19,2.2896183007879447
2021-08-18,2.980836726945159
2021-08-17,1.6944090701793457
2021-08-16,2.1951402616340303
2021-08-13,2.9562973728091064
2021-08-11,2.243051886831822
2021-08-10,4.207480349571752
2021-08-09,2.7872718132137604
2021-08-06,4.528689554468875
2021-08-05,2.1880294984342847
2021-08-04,3.5306335338654957
2021-08-03,2.1783648348945985
2021-08-02,4.024577338474072
2021-07-30,1.743516233007413
2021-07-29,2.558794765697656
2021-07-27,2.569643783134713
2021-07-23,2.850767320554814
2021-07-22,2.39022546146148
2021-07-21,4.556994640055036
2021-07-20,4.43263921326454
2021-07-19,1.584912082571311
2021-07-16,1.8044036022595906
2021-07-15,2.4165342291116145
2021-07-14,4.624313089390981
2021-07-13,2.4568840465951283
2021-07-12,3.7874846688634296
2021-07-09,7.59929867649204
2021-07-08,3.8269000661403214
2021-07-07,2.8327162468187175
2021-07-06,2.071417662102725
2021-07-05,3.8027728957253295
2021-07-02,1.8908512646114788
2021-07-01,2.043342947269611
2021-06-30,2.784780684524682
2021-06-29,1.859536951870322
2021-06-28,1.8932899931309881
2021-06-25,2.3147762075341904
2021-06-24,2.390538155005118
2021-06-23,1.992052128980181
2021-06-22,3.162925861469836
2021-06-21,2.0660221381004904
2021-06-18,2.3465451133112114
2021-06-17,1.8322071670420943
2021-06-16,2.9419601818338457
2021-06-15,1.9801588358608784
2021-06-14,2.583728189727154
2021-06-11,1.8561361956193017
2021-06-10,2.906074990687774
2021-06-09,1.5552642036015405
2021-06-08,1.7120041356463098
2021-06-07,2.4019674224164267
2021-06-04,2.6103385435953577
2021-06-02,5.242543010759083
2021-06-01,2.734693196862974
2021-05-31,2.060940980288742
2021-05-28,3.440340038704504
2021-05-27,3.6488701643099932
2021-05-25,1.6260830258219854
2021-05-24,1.883060560943308
2021-05-21,2.5917275380150873
2021-05-20,2.4350790891795673
2021-05-19,3.8730393473955136
2021-05-18,1.9308425022714837
2021-05-17,2.6995254873350105
2021-05-14,5.617899722606169
2021-05-13,2.520338867261991
2021-05-12,2.8115314289257687
2021-05-11,2.2905008937002886
2021-05-10,3.864022483489094
2021-05-07,5.764856118376359
2021-05-06,7.709161517361032
2021-05-05,2.6868751009867737
2021-04-30,3.337643451728484
2021-04-29,3.808035479307173
2021-04-28,1.7698047118743845
2021-04-27,2.3595957230512483
2021-04-26,3.8892531542445083
2021-04-23,3.2131741182467324
2021-04-22,1.9759794121621639
2021-04-21,2.863594734958271
2021-04-20,5.6635630628146965
2021-04-19,3.151567940964723
2021-04-16,5.93757662006372
2021-04-12,2.350916128601503
2021-04-09,2.735268905095521
2021-04-08,5.615497089794828
2021-04-07,4.05112201865695
2021-04-05,1.5941782349249327
2021-04-02,2.0666940093054134
