Date,FWDN5,FWHS5,FWBRW5,FWG5,FWE5,FWFI5,FWOFI5,FWI5,FWDN1,FWHS1,FWBRW1,FWG1,FWE1,FWFI1,FWOFI1,FWI1,RWDN5,RWHS5,RWBRW5,RWG5,RWE5,RWFI5,RWOFI5,RWI5,RWDN1,RWHS1,RWBRW1,RWG1,RWE1,RWFI1,RWOFI1,RWI1
12/31/21,2.1788,1.80972,1.79391,1.70834453,1.886203117,1.730019712,1.539466204,1.280470109,3.08152,3.18177,3.08408,2.41614427,2.667693063,2.446799893,2.17729643,1.81099331,2.11771,1.88462,1.79391,1.693093379,1.862040487,1.687494507,1.597988634,1.295502379,2.99511,3.18177,3.08935,2.394574276,2.633519395,2.386655685,2.260065821,1.832253737
12/29/21,2.17861,1.80972,1.79392,1.781475099,1.962252974,1.798820232,1.601790958,1.215241063,3.08125,3.18177,3.08532,2.519574229,2.775251828,2.544105782,2.26544352,1.718738627,2.11825,1.88462,1.79392,1.764913576,1.937149098,1.775899334,1.692450234,1.323207027,2.99587,3.18177,3.09002,2.496150952,2.739746937,2.511688319,2.393664664,1.87143695
12/28/21,2.17896,1.80972,1.79393,1.89980314,2.121729795,1.939328385,1.916520228,1.829296394,3.08174,3.18177,3.08656,2.686927836,3.00080294,2.742829144,2.710571133,2.5872088,2.11889,1.88462,1.79393,1.881750873,2.097003717,1.932369691,1.920692609,1.844599078,2.99679,3.18177,3.09069,2.661396171,2.965832374,2.73298733,2.71647221,2.608851677
12/27/21,2.17843,1.80972,1.79394,1.933238988,2.132603952,1.977173271,1.993319618,1.890141376,3.08099,3.18177,3.08778,2.734216794,3.016182467,2.796353888,2.819189975,2.673263019,2.11917,1.89519,1.79394,1.914723659,2.110855182,1.97052865,1.979078615,1.936235807,2.99718,3.18177,3.09135,2.70803021,2.985422767,2.786956275,2.799048653,2.738455252
12/24/21,2.1784,1.80972,1.79898,1.986371291,2.170449567,2.078725685,2.351929442,2.7552978,3.08096,3.18177,3.089,2.809362824,3.069708242,2.939981406,3.326378693,3.896870258,2.11953,1.89519,1.79899,1.967664975,2.147859348,2.054854298,2.160620173,2.574876487,2.99769,3.18177,3.09201,2.782906125,3.037758464,2.906219648,3.055806342,3.641696953
12/23/21,2.17687,1.80972,1.8639,1.744054098,1.913452074,1.780146079,1.637231372,1.422953254,3.07879,3.18177,3.0902,2.466648993,2.706231784,2.517694571,2.315567574,2.012509941,2.11885,1.89519,1.87557,1.727369944,1.892096556,1.736465411,1.671708162,1.444098593,2.99673,3.18177,3.09266,2.443052276,2.676028267,2.455916169,2.364328755,2.042416199
12/22/21,2.17668,1.80972,1.86529,1.813109302,1.981562908,1.860718948,1.81384794,1.766292167,3.07851,3.18177,3.0914,2.564315086,2.802562236,2.631650317,2.565359756,2.498100719,2.11938,1.89519,1.87618,1.796087353,1.959504036,1.826317638,1.79984125,1.730543753,2.99748,3.18177,3.09331,2.540240619,2.771363952,2.582995887,2.545549827,2.447541055
12/21/21,2.17624,1.80972,1.86666,1.822996203,1.963130456,1.86650823,1.78129842,1.629920408,3.07789,3.18177,3.09258,2.578298319,2.776492868,2.639838209,2.519324348,2.305227537,2.11968,1.89519,1.87678,1.806218064,1.940400074,1.839264781,1.801291639,1.649666199,2.99791,3.18177,3.09395,2.554568677,2.744344854,2.601307279,2.54760114,2.333154387
12/20/21,2.17646,1.80972,1.86803,1.874668331,1.992094689,1.920934799,1.888619286,1.753709636,3.07821,3.18177,3.09376,2.651379195,2.817457535,2.716814744,2.671110298,2.480305004,2.12011,1.89519,1.87738,1.857490676,1.967659762,1.901312966,1.889030585,1.79824083,2.99851,3.18177,3.09459,2.627084511,2.782898752,2.689063212,2.671692006,2.543286322
12/17/21,2.17614,1.80972,1.86939,1.932891334,2.014970827,2.003313305,2.157279199,2.33959159,3.07775,3.18177,3.09493,2.7337251,2.849811693,2.833324238,3.051081139,3.308929034,2.1205,1.89519,1.87797,1.915728451,1.992624138,1.971217142,2.030941409,2.250442189,2.99906,3.18177,3.09522,2.709451306,2.818206345,2.787930022,2.872399192,3.182843333
