Date,FWDN5,FWHS5,FWBRW5,FWG5,FWE5,FWFI5,FWOFI5,FWI5,FWDN1,FWHS1,FWBRW1,FWG1,FWE1,FWFI1,FWOFI1,FWI1,RWDN5,RWHS5,RWBRW5,RWG5,RWE5,RWFI5,RWOFI5,RWI5,RWDN1,RWHS1,RWBRW1,RWG1,RWE1,RWFI1,RWOFI1,RWI1
12/9/21,1.72173,1.36424,1.38896,1.510196905,1.50563581,1.566563782,1.548247071,1.362542875,2.43508,2.47612,2.28554,2.135900302,2.129449459,2.215621052,2.189715379,1.92707039,1.66364,1.32054,1.38895,1.510223348,1.49232966,1.539373148,1.133710562,1.539373153,2.35292,2.4481,2.28553,2.135937702,2.110630317,2.17716482,1.603428484,2.177164827
12/8/21,1.72168,1.36424,1.39095,1.55495511,1.533461543,1.667953189,1.741327702,1.920769276,2.43501,2.47612,2.29169,2.199202686,2.168803924,2.359018026,2.462792999,2.716580642,1.66405,1.32054,1.39094,1.558750214,1.522899755,1.588939771,0.72240907,1.588939789,2.3535,2.4481,2.29169,2.204570174,2.153866186,2.24726784,1.021716934,2.247267866
12/7/21,1.72105,1.36424,1.39578,1.473223534,1.39957185,1.614402694,1.574940634,1.249742193,2.43412,2.47612,2.2978,2.083608158,1.979441176,2.283280539,2.227468594,1.767534233,1.66367,1.32054,1.39578,1.481845882,1.396001821,1.509490604,1.098931865,1.509490608,2.35297,2.4481,2.29779,2.095802909,1.974392016,2.134901368,1.554240307,2.134901373
12/3/21,1.72102,1.36424,1.39601,1.536458579,1.475646413,1.696555163,1.722864713,1.519119366,2.43407,2.47612,2.30386,2.173042689,2.087034882,2.399470343,2.436680442,2.148519509,1.66422,1.32054,1.39601,1.549922798,1.473547574,1.57934035,0.653594138,1.579340363,2.35373,2.4481,2.30385,2.192085392,2.084066455,2.233691196,0.924390663,2.233691215
12/2/21,1.72102,1.36424,1.39625,1.609554394,1.592974899,1.796134248,1.988017037,2.315076498,2.43408,2.47612,2.30986,2.276423496,2.252974799,2.540306943,2.811690434,3.27425687,1.66479,1.32054,1.39625,1.628903404,1.599254234,1.660189075,0,1.660189113,2.35455,2.4481,2.30986,2.303789169,2.261855782,2.348037092,0,2.348037144
12/1/21,1.71972,1.35543,1.35286,1.514539708,1.444327218,1.698810644,1.912518377,2.289064431,2.43224,2.47612,2.31583,2.142042411,2.042739547,2.402660314,2.704911238,3.237467508,1.66429,1.31563,1.35531,1.540575943,1.459172949,1.569063486,0,1.569063527,2.35383,2.4481,2.31582,2.178865956,2.063736148,2.219156432,0,2.21915649
11/30/21,1.71853,1.35543,1.36425,1.419266591,1.300374527,1.546140517,1.785036355,2.287561277,2.43055,2.47612,2.32174,2.007295825,1.839144509,2.186736038,2.524610982,3.235341568,1.66384,1.32054,1.36425,1.444836234,1.309210696,1.470234906,0,1.470234955,2.35321,2.4481,2.32174,2.043459458,1.851641671,2.079381285,0,2.079381354
11/29/21,1.71784,1.35543,1.36441,1.311719877,1.139552094,1.467375949,1.863428326,2.934590259,2.42957,2.47612,2.32761,1.855190455,1.611690273,2.075337808,2.635482242,4.150447006,1.66343,1.32054,1.3644,1.337558825,1.14628423,1.35910244,0,1.359102515,2.35262,2.4481,2.3276,1.891734971,1.621211662,1.922204517,0,1.922204623
11/26/21,1.71419,1.35543,1.3653,0.627738908,0.63151464,0.625996581,1.241424652,0.625996567,2.42442,2.47612,2.33342,0.887823117,0.893163207,0.885358911,1.755770576,0.885358891,1.66091,1.32054,1.36529,0.621243094,0.622820104,0.620222821,1.220581222,0.620222808,2.34905,2.4481,2.33342,0.878635963,0.880866359,0.877192972,1.726291315,0.877192953
11/25/21,1.71429,1.35543,1.3677,0.648669636,0.664286894,0.646871945,1.241334074,0.646871879,2.42455,2.47612,2.3392,0.917425845,0.939513632,0.914883337,1.755642469,0.914883243,1.66148,1.32054,1.36769,0.64217667,0.653314044,0.640884893,1.221266015,0.64088488,2.34986,2.4481,2.3392,0.90824272,0.923994519,0.906415734,1.727259831,0.906415717
11/24/21,1.71438,1.35543,1.36964,0.66511106,0.681960747,0.66334387,1.244956732,0.663343855,2.42468,2.47612,2.34492,0.940679265,0.964510099,0.938179895,1.760766064,0.938179873,1.66204,1.32054,1.36963,0.659547014,0.67258846,0.65813965,1.223154987,0.658139639,2.35065,2.4481,2.34492,0.932809929,0.951254694,0.930819467,1.72993144,0.930819451
11/23/21,1.71448,1.35543,1.37147,0.681374558,0.697768298,0.679508088,1.244088441,0.679508078,2.42482,2.47612,2.3506,0.963681041,0.986867019,0.961041257,1.759538023,0.961041242,1.66259,1.32054,1.37146,0.674838584,0.685849745,0.673354066,1.223828214,0.673354056,2.35144,2.4481,2.3506,0.954437088,0.970010383,0.952337506,1.730883598,0.952337491
11/22/21,1.71453,1.35543,1.37329,0.692775817,0.703782412,0.69132263,1.241181922,0.69132262,2.42489,2.47612,2.35624,0.979806058,0.995372896,0.977750788,1.755427279,0.977750775,1.66314,1.32054,1.37328,0.688265861,0.694687723,0.686746206,1.219654843,0.686746197,2.35221,2.4481,2.35624,0.973427542,0.982510103,0.971278264,1.724981119,0.971278252
11/19/21,1.71472,1.35543,1.3751,0.690136626,0.685757572,0.688433058,1.269960104,0.688433047,2.42516,2.47612,2.36183,0.976073401,0.96988002,0.973664012,1.79612881,0.973663996,1.66364,1.32054,1.37509,0.682483052,0.673281293,0.680811142,1.251306676,0.680811131,2.35291,2.4481,2.36183,0.965248804,0.952234581,0.962884191,1.769746911,0.962884175
11/18/21,1.71466,1.35543,1.37689,0.688519954,0.668284664,0.686506587,1.312706499,0.686506572,2.42507,2.47612,2.36737,0.97378691,0.945167753,0.970939367,1.856585852,0.970939346,1.66414,1.32054,1.37688,0.680502008,0.655811566,0.67870419,1.292259805,0.678704175,2.35362,2.4481,2.36738,0.962446977,0.927526813,0.959904287,1.827667703,0.959904267
11/17/21,1.71466,1.35543,1.37866,0.713980545,0.718643846,0.712761162,1.303321438,0.712761149,2.42508,2.47612,2.37335,1.00979631,1.016391705,1.008071713,1.843312382,1.008071695,1.66472,1.32054,1.37865,0.707556991,0.708762267,0.705882765,1.286296284,0.705882752,2.35445,2.4481,2.44935,1.000711355,1.002416,0.998343465,1.819233382,0.998343447
11/16/21,1.71507,1.35543,1.38043,0.724296912,0.719149226,0.722863539,1.327903387,0.722863525,2.42565,2.47612,2.3794,1.024386945,1.017106474,1.022359698,1.878079101,1.022359678,1.66525,1.32054,1.38042,0.71782911,0.709305015,0.716165859,1.309011201,0.716165845,2.3552,2.4481,2.45092,1.015239409,1.003183619,1.012887041,1.851359523,1.012887022
11/15/21,1.71501,1.35543,1.38217,0.73871287,0.725269053,0.73703725,1.35464461,0.737037234,2.42557,2.47612,2.3854,1.044775709,1.025761862,1.042405847,1.915899723,1.042405825,1.66579,1.32054,1.38217,0.732322031,0.715807125,0.730739727,1.333741621,0.730739712,2.35596,2.4481,2.45249,1.035737024,1.012379677,1.033499141,1.886336227,1.033499119
11/12/21,1.71501,1.35543,1.38391,0.766993228,0.770725204,0.765346665,1.355979333,0.765346651,2.42557,2.47612,2.39135,1.084773159,1.090051364,1.082444394,1.917787447,1.082444373,1.66637,1.32054,1.3839,0.7614566,0.762962201,0.760184043,1.335419388,0.760184029,2.35678,2.4481,2.45404,1.0769426,1.079072001,1.075142799,1.888709125,1.075142779
11/11/21,1.71512,1.35543,1.38563,0.796121918,0.812240393,0.794416336,1.351550553,0.794416323,2.42572,2.47612,2.39726,1.125970421,1.148767089,1.123558184,1.91152374,1.123558165,1.66695,1.32054,1.38562,0.791415623,0.808706343,0.790508421,1.330661158,0.790508408,2.3576,2.4481,2.45557,1.119314218,1.143768813,1.118031146,1.881979469,1.118031128
11/10/21,1.71519,1.35543,1.38734,0.827020652,0.864623708,0.825446247,1.330132491,0.825446236,2.42583,2.47612,2.40312,1.16967109,1.22285381,1.167444379,1.881231766,1.167444365,1.66753,1.32054,1.38733,0.823070884,0.857389803,0.8226092,1.311232906,0.822609189,2.35842,2.4481,2.4571,1.164084859,1.21262276,1.163431889,1.854501722,1.163431875
11/9/21,1.71529,1.35543,1.38903,0.843242641,0.873115682,0.841753674,1.336766249,0.841753663,2.42597,2.47612,2.40893,1.192614159,1.234864171,1.190508285,1.890614017,1.19050827,1.66806,1.32054,1.38902,0.840823696,0.868007639,0.840578639,1.316729889,0.840578629,2.35916,2.4481,2.45861,1.189192999,1.227639768,1.18884641,1.862276209,1.188846395
