Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,899.179993,899.849976,891.039978,892.849976,892.849976,21876000
2006-01-04,893.090027,897.880005,892.630005,897.130005,897.130005,44177800
2006-01-05,897.340027,908.710022,897.340027,906.659973,906.659973,85141600
2006-01-06,906.599976,912.070007,906.599976,911.669983,911.669983,89850400
2006-01-09,913.650024,916.000000,912.400024,913.799988,913.799988,101700800
2006-01-10,null,null,null,null,null,null
2006-01-11,913.159973,915.140015,908.659973,909.590027,909.590027,105306800
2006-01-12,910.479980,916.960022,910.409973,911.159973,911.159973,136643200
2006-01-13,910.830017,914.289978,908.580017,911.900024,911.900024,87413600
2006-01-16,911.809998,913.179993,905.599976,906.530029,906.530029,79542800
2006-01-17,906.440002,911.030029,905.789978,907.520020,907.520020,97132000
2006-01-18,902.280029,907.380005,900.400024,901.320007,901.320007,97384600
2006-01-19,902.289978,906.950012,902.229980,902.700012,902.700012,72242000
2006-01-20,904.190002,907.429993,902.960022,905.409973,905.409973,92847200
2006-01-23,903.400024,904.590027,898.609985,902.510010,902.510010,69342400
2006-01-24,903.530029,908.929993,903.530029,906.979980,906.979980,84478400
2006-01-25,906.619995,912.280029,906.599976,909.770020,909.770020,91010400
2006-01-26,910.169983,913.140015,909.700012,913.140015,913.140015,97400800
2006-01-27,912.690002,915.799988,911.789978,914.010010,914.010010,90419200
2006-01-30,null,null,null,null,null,null
2006-01-31,null,null,null,null,null,null
2006-02-01,null,null,null,null,null,null
2006-02-02,null,null,null,null,null,null
2006-02-03,915.609985,927.849976,915.609985,927.849976,927.849976,194484400
2006-02-06,928.380005,931.000000,925.859985,929.390015,929.390015,142145600
2006-02-07,929.849976,930.650024,920.119995,923.840027,923.840027,117753200
2006-02-08,923.890015,924.450012,915.859985,918.919983,918.919983,129027200
2006-02-09,919.440002,923.130005,918.979980,920.630005,920.630005,123199400
2006-02-10,920.419983,923.849976,919.679993,920.309998,920.309998,101902800
