"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 18, 2021","1,377.77","1,366.19","1,377.77","1,363.52","809.47K","1.31%"
"Jun 17, 2021","1,359.92","1,341.06","1,364.55","1,337.49","768.73K","0.25%"
"Jun 16, 2021","1,356.52","1,363.85","1,370.14","1,350.73","769.63K","-0.79%"
"Jun 15, 2021","1,367.36","1,361.58","1,372.72","1,356.59","730.94K","0.41%"
"Jun 14, 2021","1,361.72","1,352.73","1,368.53","1,352.73","775.73K","0.74%"
"Jun 11, 2021","1,351.74","1,326.79","1,352.47","1,322.08","731.26K","2.13%"
"Jun 10, 2021","1,323.58","1,332.90","1,336.71","1,317.49","723.49K","-0.70%"
"Jun 09, 2021","1,332.90","1,323.52","1,339.14","1,312.08","822.29K","0.99%"
"Jun 08, 2021","1,319.88","1,355.36","1,364.48","1,318.11","924.51K","-2.86%"
"Jun 07, 2021","1,358.78","1,374.59","1,375.74","1,347.21","876.69K","-1.11%"
"Jun 04, 2021","1,374.05","1,367.06","1,374.05","1,360.42","943.33K","0.72%"
"Jun 03, 2021","1,364.28","1,345.21","1,366.00","1,345.21","898.88K","1.75%"
"Jun 02, 2021","1,340.78","1,337.78","1,344.98","1,330.82","805.24K","0.22%"
"Jun 01, 2021","1,337.78","1,329.47","1,346.34","1,328.84","629.42K","0.73%"
"May 31, 2021","1,328.05","1,326.65","1,328.05","1,307.56","737.18K","0.57%"
"May 28, 2021","1,320.46","1,307.79","1,323.09","1,300.06","768.85K","1.30%"
"May 27, 2021","1,303.57","1,318.42","1,319.67","1,299.99","733.00K","-1.00%"
"May 26, 2021","1,316.70","1,308.04","1,317.30","1,304.68","713.07K","0.62%"
"May 25, 2021","1,308.58","1,299.19","1,308.58","1,297.23","679.06K","0.82%"
"May 24, 2021","1,297.98","1,287.50","1,299.83","1,287.36","715.51K","1.09%"
"May 21, 2021","1,283.93","1,272.84","1,289.03","1,268.46","698.93K","0.45%"
"May 20, 2021","1,278.22","1,264.62","1,278.22","1,255.78","745.21K","1.25%"
"May 19, 2021","1,262.49","1,254.78","1,262.71","1,250.58","694.35K","0.78%"
"May 18, 2021","1,252.68","1,259.57","1,262.22","1,249.02","692.48K","-0.48%"
"May 17, 2021","1,258.70","1,272.55","1,277.83","1,258.50","758.29K","-0.60%"
"May 14, 2021","1,266.36","1,266.43","1,271.45","1,259.97","730.99K","0.35%"
"May 13, 2021","1,261.99","1,262.98","1,273.49","1,261.99","711.52K","-0.56%"
"May 12, 2021","1,269.09","1,251.97","1,269.09","1,249.18","700.67K","1.04%"
"May 11, 2021","1,256.04","1,265.11","1,272.55","1,256.04","770.09K","-0.28%"
"May 10, 2021","1,259.58","1,239.96","1,259.58","1,236.85","773.06K","1.43%"
"May 07, 2021","1,241.81","1,245.48","1,250.50","1,231.92","783.04K","-0.70%"
"May 06, 2021","1,250.57","1,255.42","1,261.49","1,246.64","730.50K","-0.47%"
"May 05, 2021","1,256.43","1,244.69","1,265.93","1,244.69","744.43K","1.15%"
